id;nome;email;telefone;segmento_id
1;in;Isis0@yahoo.com;voluntarily monthly;7695
2;instead ugh pace;Mercia.Carvalho@live.com;worth ack coolly;21611
3;quicker;Tertuliano69@yahoo.com;almighty whoa ugly;17260
4;uh-huh extent whoa;Felipe0@hotmail.com;firsthand;7396
5;under enrage nor;Noah.Souza41@bol.com.br;present;22036
6;inwardly;JoaoLucas4@yahoo.com;innocently concerning huzzah;9421
7;bitter lest brush;Joao.Batista@bol.com.br;underpants;3727
8;from plus mild;Sarah.Costa19@gmail.com;into;26306
9;oxidise;Karla_Batista6@live.com;midst huzzah;9423
10;rosemary citizen;JulioCesar_Oliveira@live.com;unless;30579
